adve_time_year,comp_indu_noga,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2017,29,16,16,16,0,0,1.0,1.0,0.0,0.0,industry
2017,30,143,143,143,0,0,1.0,1.0,0.0,0.0,industry
2017,31,15,15,15,0,0,1.0,1.0,0.0,0.0,industry
2017,32,116,116,116,0,0,1.0,1.0,0.0,0.0,industry
2017,33,172,172,172,0,0,1.0,1.0,0.0,0.0,industry
2017,34,97,97,97,0,0,1.0,1.0,0.0,0.0,industry
2017,35,9,9,9,0,0,1.0,1.0,0.0,0.0,industry
2017,36,37,37,37,0,0,1.0,1.0,0.0,0.0,industry
2017,37,20,20,20,0,0,1.0,1.0,0.0,0.0,industry
2017,38,20,20,20,0,0,1.0,1.0,0.0,0.0,industry
2017,39,183,183,183,0,0,1.0,1.0,0.0,0.0,industry
2017,40,52,52,52,0,0,1.0,1.0,0.0,0.0,industry
2017,41,93,93,93,0,0,1.0,1.0,0.0,0.0,industry
2017,42,223,223,223,0,0,1.0,1.0,0.0,0.0,industry
2017,43,178,178,178,0,0,1.0,1.0,0.0,0.0,industry
2017,44,430,430,430,0,0,1.0,1.0,0.0,0.0,industry
2017,45,92,92,92,0,0,1.0,1.0,0.0,0.0,industry
2017,46,32,32,32,0,0,1.0,1.0,0.0,0.0,industry
2017,47,24,24,24,0,0,1.0,1.0,0.0,0.0,industry
2017,48,41,41,41,0,0,1.0,1.0,0.0,0.0,industry
2017,49,53,53,53,0,0,1.0,1.0,0.0,0.0,industry
2017,50,11,11,0,0,11,1.0,0.0,0.0,1.0,industry
2017,51,98,98,0,0,98,1.0,0.0,0.0,1.0,industry
2018,1,18,18,18,0,0,1.0,1.0,0.0,0.0,industry
2018,2,85,85,85,0,0,1.0,1.0,0.0,0.0,industry
2018,3,3,3,3,0,0,1.0,1.0,0.0,0.0,industry
2018,4,17,17,17,0,0,1.0,1.0,0.0,0.0,industry
2018,5,7,7,7,0,0,1.0,1.0,0.0,0.0,industry
2018,6,26,26,26,0,0,1.0,1.0,0.0,0.0,industry
2018,7,90,90,90,0,0,1.0,1.0,0.0,0.0,industry
2018,8,20,20,20,0,0,1.0,1.0,0.0,0.0,industry
2018,9,24,24,24,0,0,1.0,1.0,0.0,0.0,industry
2018,10,19,19,19,0,0,1.0,1.0,0.0,0.0,industry
2018,11,35,35,35,0,0,1.0,1.0,0.0,0.0,industry
2018,12,53,53,53,0,0,1.0,1.0,0.0,0.0,industry
